Timestep,VariableName,EntityIdx,Value,Metadata
1,Deaths,[Actor1-160],0,Actor alive
1,Casualties,[Actor1-160],0,Actor health
1,Evacuees,[Actor1-160],0,Actor location
1,Sheltered,[Actor1-160],0,Actor location
1,Wellbeing,[Actor1-160],0.75875,Actor health
1,Wealth,[Actor1-160],0.59875,Actor resources
1,Safety,[Region1-16],1,Region risk
1,Prosocial,[Actor1-160],0,Actor action
1,Antisocial,[Actor1-160],0,Actor action
1,Regional Wellbeing,Region01,0.654545455,Actor health
1,Regional Wellbeing,Region02,0.6,Actor health
1,Regional Wellbeing,Region03,0.8,Actor health
1,Regional Wellbeing,Region04,0.8,Actor health
1,Regional Wellbeing,Region05,0.853333333,Actor health
1,Regional Wellbeing,Region06,0.733333333,Actor health
1,Regional Wellbeing,Region07,0.766666667,Actor health
1,Regional Wellbeing,Region08,0.8,Actor health
1,Regional Wellbeing,Region09,0.65,Actor health
1,Regional Wellbeing,Region10,0.78,Actor health
1,Regional Wellbeing,Region11,0.733333333,Actor health
1,Regional Wellbeing,Region12,0.76,Actor health
1,Regional Wellbeing,Region13,0.9,Actor health
1,Regional Wellbeing,Region14,0.82,Actor health
1,Regional Wellbeing,Region15,0.675,Actor health
1,Regional Wellbeing,Region16,0.8,Actor health
1,Regional Deaths,Region01,0,Actor alive
1,Regional Deaths,Region02,0,Actor alive
1,Regional Deaths,Region03,0,Actor alive
1,Regional Deaths,Region04,0,Actor alive
1,Regional Deaths,Region05,0,Actor alive
1,Regional Deaths,Region06,0,Actor alive
1,Regional Deaths,Region07,0,Actor alive
1,Regional Deaths,Region08,0,Actor alive
1,Regional Deaths,Region09,0,Actor alive
1,Regional Deaths,Region10,0,Actor alive
1,Regional Deaths,Region11,0,Actor alive
1,Regional Deaths,Region12,0,Actor alive
1,Regional Deaths,Region13,0,Actor alive
1,Regional Deaths,Region14,0,Actor alive
1,Regional Deaths,Region15,0,Actor alive
1,Regional Deaths,Region16,0,Actor alive
1,Regional Casualties,Region01,0,Actor health
1,Regional Casualties,Region02,0,Actor health
1,Regional Casualties,Region03,0,Actor health
1,Regional Casualties,Region04,0,Actor health
1,Regional Casualties,Region05,0,Actor health
1,Regional Casualties,Region06,0,Actor health
1,Regional Casualties,Region07,0,Actor health
1,Regional Casualties,Region08,0,Actor health
1,Regional Casualties,Region09,0,Actor health
1,Regional Casualties,Region10,0,Actor health
1,Regional Casualties,Region11,0,Actor health
1,Regional Casualties,Region12,0,Actor health
1,Regional Casualties,Region13,0,Actor health
1,Regional Casualties,Region14,0,Actor health
1,Regional Casualties,Region15,0,Actor health
1,Regional Casualties,Region16,0,Actor health
1,Regional Sheltered,Region01,0,Actor location
1,Regional Sheltered,Region02,0,Actor location
1,Regional Sheltered,Region03,0,Actor location
1,Regional Sheltered,Region04,0,Actor location
1,Regional Sheltered,Region05,0,Actor location
1,Regional Sheltered,Region06,0,Actor location
1,Regional Sheltered,Region07,0,Actor location
1,Regional Sheltered,Region08,0,Actor location
1,Regional Sheltered,Region09,0,Actor location
1,Regional Sheltered,Region10,0,Actor location
1,Regional Sheltered,Region11,0,Actor location
1,Regional Sheltered,Region12,0,Actor location
1,Regional Sheltered,Region13,0,Actor location
1,Regional Sheltered,Region14,0,Actor location
1,Regional Sheltered,Region15,0,Actor location
1,Regional Sheltered,Region16,0,Actor location
2,Deaths,[Actor1-160],0,Actor alive
2,Casualties,[Actor1-160],0,Actor health
2,Evacuees,[Actor1-160],0,Actor location
2,Sheltered,[Actor1-160],0,Actor location
2,Wellbeing,[Actor1-160],0.75875,Actor health
2,Wealth,[Actor1-160],0.59875,Actor resources
2,Safety,[Region1-16],1,Region risk
2,Prosocial,[Actor1-160],0,Actor action
2,Antisocial,[Actor1-160],0,Actor action
2,Regional Wellbeing,Region01,0.654545455,Actor health
2,Regional Wellbeing,Region02,0.6,Actor health
2,Regional Wellbeing,Region03,0.8,Actor health
2,Regional Wellbeing,Region04,0.8,Actor health
2,Regional Wellbeing,Region05,0.853333333,Actor health
2,Regional Wellbeing,Region06,0.733333333,Actor health
2,Regional Wellbeing,Region07,0.766666667,Actor health
2,Regional Wellbeing,Region08,0.8,Actor health
2,Regional Wellbeing,Region09,0.65,Actor health
2,Regional Wellbeing,Region10,0.78,Actor health
2,Regional Wellbeing,Region11,0.733333333,Actor health
2,Regional Wellbeing,Region12,0.76,Actor health
2,Regional Wellbeing,Region13,0.9,Actor health
2,Regional Wellbeing,Region14,0.82,Actor health
2,Regional Wellbeing,Region15,0.675,Actor health
2,Regional Wellbeing,Region16,0.8,Actor health
2,Regional Deaths,Region01,0,Actor alive
2,Regional Deaths,Region02,0,Actor alive
2,Regional Deaths,Region03,0,Actor alive
2,Regional Deaths,Region04,0,Actor alive
2,Regional Deaths,Region05,0,Actor alive
2,Regional Deaths,Region06,0,Actor alive
2,Regional Deaths,Region07,0,Actor alive
2,Regional Deaths,Region08,0,Actor alive
2,Regional Deaths,Region09,0,Actor alive
2,Regional Deaths,Region10,0,Actor alive
2,Regional Deaths,Region11,0,Actor alive
2,Regional Deaths,Region12,0,Actor alive
2,Regional Deaths,Region13,0,Actor alive
2,Regional Deaths,Region14,0,Actor alive
2,Regional Deaths,Region15,0,Actor alive
2,Regional Deaths,Region16,0,Actor alive
2,Regional Casualties,Region01,0,Actor health
2,Regional Casualties,Region02,0,Actor health
2,Regional Casualties,Region03,0,Actor health
2,Regional Casualties,Region04,0,Actor health
2,Regional Casualties,Region05,0,Actor health
2,Regional Casualties,Region06,0,Actor health
